Year,country_code,country_name,gdp,new_income_group,new_region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change,net_migration
2016,GNB,Guinea-Bissau,4.786346474,Low income,Sub-Saharan Africa,1834552,-33.573407,23574000,30.7602401,56431260,11790049.11,57810781.67,3.151,0.009,-1392
2017,GNB,Guinea-Bissau,7.790056902,Low income,Sub-Saharan Africa,1879826,86.3852721,48288166.84,55.95175165,105179557.5,13501770.12,57810781.67,3.162,0.011,-1398
2018,GNB,Guinea-Bissau,8.50597907,Low income,Sub-Saharan Africa,1924955,21.68099566,56715457.49,66.48650633,127983532.8,15046302.34,57810781.67,3.2,0.038,-1396
2019,GNB,Guinea-Bissau,10.50161233,Low income,Sub-Saharan Africa,1970457,18.12866983,98051579.01,76.72598027,151185244.9,14396384.11,57810781.67,3.175,-0.025,-1395
2020,GNB,Guinea-Bissau,12.21843223,Low income,Sub-Saharan Africa,2015828,15.71129796,78641175.51,86.78240862,174938409.2,14317582.31,57810781.67,3.605,0.43,-1394
2021,GNB,Guinea-Bissau,12.57890812,Low income,Sub-Saharan Africa,2060721,17.81725074,89262870.8,100.0172387,206107624.2,16385176.06,57810781.67,3.687,0.082,-1395
2022,GNB,Guinea-Bissau,10.89664682,Low income,Sub-Saharan Africa,2105566,-13.63581741,0,84.53934234,178003164.9,16335590.92,57810781.67,3.583,-0.104,0
1970,GUY,Guyana,0,High income,Latin America & Caribbean,705261,0,0,0,0,0,173574829.1,0,0,-10098
1971,GUY,Guyana,0,High income,Latin America & Caribbean,713904,0,0,0,0,0,173574829.1,0,0,-10552
1972,GUY,Guyana,0,High income,Latin America & Caribbean,721994,0,0,0,0,0,173574829.1,0,0,-10817
1973,GUY,Guyana,0,High income,Latin America & Caribbean,729865,0,0,0,0,0,173574829.1,0,0,-10842
1974,GUY,Guyana,0,High income,Latin America & Caribbean,737701,0,0,0,0,0,173574829.1,0,0,-10579
1975,GUY,Guyana,0,High income,Latin America & Caribbean,745590,0,0,0,0,0,173574829.1,0,0,-10226
1976,GUY,Guyana,0,High income,Latin America & Caribbean,753553,0,0,0,0,0,173574829.1,0,0,-10017
1977,GUY,Guyana,0,High income,Latin America & Caribbean,761378,0,0,0,0,0,173574829.1,0,0,-10183
1978,GUY,Guyana,0,High income,Latin America & Caribbean,768609,0,0,0,0,0,173574829.1,0,0,-10994
1979,GUY,Guyana,0,High income,Latin America & Caribbean,774482,0,0,0,0,0,173574829.1,0,0,-12767
1980,GUY,Guyana,0,High income,Latin America & Caribbean,778176,0,0,0,0,0,173574829.1,0,0,-15059
1981,GUY,Guyana,0,High income,Latin America & Caribbean,779686,0,426666.677,0,0,0,173574829.1,0,0,-17221
1982,GUY,Guyana,0.477178413,High income,Latin America & Caribbean,779639,0,0,2.950083246,2299999.952,4820000.003,173574829.1,0,0,-18622
1983,GUY,Guyana,0.23841961,High income,Latin America & Caribbean,778372,-49.27536298,0,1.498854824,1166666.627,4893333.342,173574829.1,0,0,-19772
1984,GUY,Guyana,0.596368032,High income,Latin America & Caribbean,776007,123.7052925,0,3.363236403,2609894.991,4376316.051,173574829.1,0,0,-20640
1985,GUY,Guyana,0,High income,Latin America & Caribbean,772671,0,0,0,0,0,173574829.1,0,0,-21225
1986,GUY,Guyana,0,High income,Latin America & Caribbean,768508,0,0,0,0,0,173574829.1,0,0,-21608
1987,GUY,Guyana,0,High income,Latin America & Caribbean,763706,0,0,0,0,0,173574829.1,0,0,-21822
1988,GUY,Guyana,0,High income,Latin America & Caribbean,758450,0,0,0,0,0,173574829.1,0,0,-21910
1989,GUY,Guyana,0,High income,Latin America & Caribbean,752897,0,0,0,0,0,173574829.1,0,0,-21784
1990,GUY,Guyana,0,High income,Latin America & Caribbean,747116,0,0,0,0,0,173574829.1,0,0,-21639
1991,GUY,Guyana,0,High income,Latin America & Caribbean,744096,0,0,0,0,0,173574829.1,11.954,0,-15526
1992,GUY,Guyana,0.273038896,High income,Latin America & Caribbean,744998,-60.91796856,2720000,1.369131167,1019999.981,3735731.414,173574829.1,11.9,-0.054,-13467
1993,GUY,Guyana,0.266460329,High income,Latin America & Caribbean,747189,18.62745692,9050000,1.619402906,1210000.038,4541013.826,173574829.1,11.873,-0.027,-13075
1994,GUY,Guyana,0.247746743,High income,Latin America & Caribbean,749546,10.7438009,8550000,1.787748895,1340000.033,5408749.341,173574829.1,11.847,-0.026,-13197
1995,GUY,Guyana,0.273475997,High income,Latin America & Caribbean,751689,26.8656721,8970000,2.261573667,1700000.048,6216267.85,173574829.1,11.884,0.037,-13242
1996,GUY,Guyana,2.069730052,High income,Latin America & Caribbean,753571,758.8235052,23300000,19.3744186,14600000,7054060.014,173574829.1,11.818,-0.066,-13275
1997,GUY,Guyana,2.002301286,High income,Latin America & Caribbean,755211,2.739726027,17900000,19.86199883,15000000,7491380.096,173574829.1,11.827,0.009,-13282
1998,GUY,Guyana,1.951136074,High income,Latin America & Caribbean,756697,-6.666666667,21600000,18.50146095,14000000,7175306.831,173574829.1,11.935,0.108,-13251
1999,GUY,Guyana,2.950680506,High income,Latin America & Caribbean,758014,46.42857143,27200000,27.04435538,20500000,6947549.882,173574829.1,11.84,-0.095,-13212
2000,GUY,Guyana,3.830676269,High income,Latin America & Caribbean,759051,33.17073171,27400000,35.96596276,27300000,7126678.968,173574829.1,11.89,0.05,-13176
2001,GUY,Guyana,3.131286053,High income,Latin America & Caribbean,759809,-18.31501832,24100000,29.34948125,22300000,7121674.489,173574829.1,11.812,-0.078,-13060
2002,GUY,Guyana,7.023521853,High income,Latin America & Caribbean,760323,128.6995516,53100000,67.07675554,51000000,7261314.347,173574829.1,11.81,-0.002,-12758
2003,GUY,Guyana,13.36358736,High income,Latin America & Caribbean,760562,94.70588235,50400000,130.5613481,99300000,7430639.493,173574829.1,11.576,-0.234,-12523
2004,GUY,Guyana,19.42196081,High income,Latin America & Caribbean,760424,54.08761329,80627000,201.2153746,153009000,7878143.793,173574829.1,11.279,-0.297,-12657
2005,GUY,Guyana,24.4021998,High income,Latin America & Caribbean,759709,31.55369946,54806000,264.9553974,201289000,8248805.503,173574829.1,11.027,-0.252,-13000
2006,GUY,Guyana,9.163557937,High income,Latin America & Caribbean,758367,8.339750309,48429000,287.5599809,218076000,23798179.87,173574829.1,10.7,-0.327,-13328
2007,GUY,Guyana,10.19768935,High income,Latin America & Caribbean,756521,27.70593738,61144000,368.1272562,278496000,27309716,173574829.1,10.943,0.243,-13629
2008,GUY,Guyana,9.053852721,High income,Latin America & Caribbean,754150,-1.651724154,72154442.74,363.1850617,273896014.3,30251874.28,173574829.1,11.301,0.358,-13886
2009,GUY,Guyana,8.278386968,High income,Latin America & Caribbean,751258,-4.319218894,85624875.03,348.8360136,262065845.9,31656631.53,173574829.1,11.538,0.237,-14130
2010,GUY,Guyana,10.71409205,High income,Latin America & Caribbean,747932,40.34847045,128119878.6,491.7631634,367805406.3,34329125.1,173574829.1,11.812,0.274,-14327
2011,GUY,Guyana,11.16654254,High income,Latin America & Caribbean,744230,12.07013082,138270000,553.8610376,412200000,36913843.16,173574829.1,12.058,0.246,-14512
2012,GUY,Guyana,11.549303,High income,Latin America & Caribbean,743966,13.84240793,183688021.2,630.752488,469258405.5,40630885.3,173574829.1,12.333,0.275,-7152
2013,GUY,Guyana,7.873520438,High income,Latin America & Caribbean,747420,-30.06994555,122837355.3,439.0472004,328152658.5,41678009.36,173574829.1,12.64,0.307,-6912
2014,GUY,Guyana,7.986561204,High income,Latin America & Caribbean,751115,0.458764042,122229530.3,438.8916543,329658104.9,41276601.59,173574829.1,12.954,0.314,-6715
2015,GUY,Guyana,7.074411752,High income,Latin America & Caribbean,755031,-8.155293894,131992083.3,401.0080614,302773517.6,42798401.93,173574829.1,13.252,0.298,-6524
2016,GUY,Guyana,6.004732702,High income,Latin America & Caribbean,759087,-11.09724687,137963412.6,354.6022958,269173992.9,44826973.37,173574829.1,13.475,0.223,-6311
2017,GUY,Guyana,6.788727516,High income,Latin America & Caribbean,763252,19.75176875,139331508.2,422.3252838,322340617.5,47481743.34,173574829.1,13.757,0.282,-6110
2018,GUY,Guyana,6.969884009,High income,Latin America & Caribbean,785514,3.521780342,142391133.7,424.808146,333692746,47876370.05,173574829.1,14.02,0.263,30080
2019,GUY,Guyana,7.351682082,High income,Latin America & Caribbean,798753,13.98461775,149060525.5,476.1902628,380358401,51737601.92,173574829.1,13.52,-0.5,-24678
2020,GUY,Guyana,7.843244024,High income,Latin America & Caribbean,797202,12.8209617,130319223.2,538.2876685,429124005.9,54712565.95,173574829.1,15.589,2.069,802
2021,GUY,Guyana,6.810506861,High income,Latin America & Caribbean,804567,27.67198648,196704925.7,680.9515464,547871142.8,80444988.01,173574829.1,14.905,-0.684,-4316
2022,GUY,Guyana,2.607716773,High income,Latin America & Caribbean,808726,-26.90232452,0,495.1999441,400481070,153575370.7,173574829.1,12.358,-2.547,0
1970,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,4680812,0,0,0,0,0,1207121652,0,0,-18441
1971,HTI,Haiti,4.933847749,Lower middle income,Latin America & Caribbean,4766423,0,5400000.095,3.755436649,17899999.62,3627999.997,1207121652,0,0,-18526
1972,HTI,Haiti,6.069886669,Lower middle income,Latin America & Caribbean,4853117,26.1447848,3279988.05,4.652662608,22579916,3719989.718,1207121652,0,0,-18636
1973,HTI,Haiti,4.828631194,Lower middle income,Latin America & Caribbean,4940710,-0.176772491,7940000.057,4.562097537,22540000.92,4667989.75,1207121652,0,0,-18699
1974,HTI,Haiti,3.830917867,Lower middle income,Latin America & Caribbean,5030652,-3.904251127,10399991.04,4.305601477,21659982.68,5653992.968,1207121652,0,0,-18810
1975,HTI,Haiti,8.690930615,Lower middle income,Latin America & Caribbean,5124560,173.4074265,39380001.07,11.55611432,59220001.22,6814000.001,1207121652,0,0,-18691
1976,HTI,Haiti,8.498293167,Lower middle income,Latin America & Caribbean,5222342,26.13980988,44840000.15,14.30392666,74699996.95,8790000.001,1207121652,0,0,-19087
1977,HTI,Haiti,7.921858144,Lower middle income,Latin America & Caribbean,5323827,0.42837979,44099998.47,14.09136635,75019996.64,9470000.002,1207121652,0,0,-19430
1978,HTI,Haiti,7.801272838,Lower middle income,Latin America & Caribbean,5428667,1.306322852,47279998.78,13.99975353,76000000,9742000.002,1207121652,0,0,-19829
1979,HTI,Haiti,7.845641196,Lower middle income,Latin America & Caribbean,5536423,11.55262997,50680000.31,15.31313608,84779998.78,10806000,1207121652,0,0,-20795
1980,HTI,Haiti,7.691863158,Lower middle income,Latin America & Caribbean,5646676,25.54848305,54340000.15,18.8500283,106440002.4,13838000,1207121652,0,0,-22125
1981,HTI,Haiti,8.5588754,Lower middle income,Latin America & Caribbean,5760197,18.95903781,61840000.15,21.98188755,126620002.7,14794000,1207121652,0,0,-22337
1982,HTI,Haiti,6.58255331,Lower middle income,Latin America & Caribbean,5877684,-23.36123926,47340000.15,16.5099044,97040000.92,14742000,1207121652,0,0,-23399
1983,HTI,Haiti,5.535846097,Lower middle income,Latin America & Caribbean,5997739,-7.378404372,43479999.54,14.98564663,89879997.25,16236000,1207121652,0,0,-23969
1984,HTI,Haiti,4.955401387,Lower middle income,Latin America & Caribbean,6119932,0.133514412,45000000,14.70604575,90000000,18162000,1207121652,0,0,-24456
1985,HTI,Haiti,4.766596933,Lower middle income,Latin America & Caribbean,6245539,6.422220867,47240001.68,15.33574585,95779998.78,20094000,1207121652,0,0,-24908
1986,HTI,Haiti,4.547886031,Lower middle income,Latin America & Caribbean,6375097,10.0647312,53400001.53,16.5362187,105419998.2,23180000,1207121652,0,0,-25286
1987,HTI,Haiti,5.527550005,Lower middle income,Latin America & Caribbean,6508349,7.342065673,56919998.17,17.38689854,113160003.7,20472000,1207121652,0,0,-25548
1988,HTI,Haiti,4.747646281,Lower middle income,Latin America & Caribbean,6644959,9.667722201,60680000.31,18.67581102,124099998.5,26139268,1207121652,0,0,-25687
1989,HTI,Haiti,4.487904298,Lower middle income,Latin America & Caribbean,6784161,-1.047538611,63459999.08,18.10098597,122800003.1,27362438,1207121652,0,0,-25881
1990,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,6925331,0,0,0,0,0,1207121652,0,0,-26101
1991,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7066055,0,0,0,0,0,1207121652,7.562,0,-26326
1992,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7205780,0,0,0,0,0,1207121652,7.619,0.057,-26514
1993,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7345940,0,0,0,0,0,1207121652,7.577,-0.042,-26640
1994,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7486091,0,0,0,0,0,1207121652,7.615,0.038,-26862
1995,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7627316,0,0,0,0,0,1207121652,7.301,-0.314,-27130
1996,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7770593,0,0,0,0,0,1207121652,7.325,0.024,-27373
1997,HTI,Haiti,0,Lower middle income,Latin America & Caribbean,7915172,0,0,0,0,0,1207121652,7.296,-0.029,-27515
1998,HTI,Haiti,8.789163853,Lower middle income,Latin America & Caribbean,8060896,166.5309379,0,40.60342672,327300000,37239037.24,1207121652,7.255,-0.041,-27495
1999,HTI,Haiti,10.16075695,Lower middle income,Latin America & Caribbean,8208941,28.94897647,0,51.41345272,422050000,41537259.68,1207121652,7.2,-0.055,-27334
2000,HTI,Haiti,8.483076284,Lower middle income,Latin America & Caribbean,8360225,36.95059827,11000000,69.13689524,578000000,68135659.83,1207121652,8.408,1.208,-27098
2001,HTI,Haiti,9.848119295,Lower middle income,Latin America & Caribbean,8511728,7.885813149,19340000,73.26126963,623580000,63319704.13,1207121652,9.635,1.227,-26837
2002,HTI,Haiti,10.8874741,Lower middle income,Latin America & Caribbean,8661546,8.351775233,22000000,78.00685928,675660000,62058471.4,1207121652,10.826,1.191,-26642
2003,HTI,Haiti,15.98991221,Lower middle income,Latin America & Caribbean,8812245,20.03078471,31350000,92.03103182,811000000,50719477.97,1207121652,11.999,1.173,-26534
2004,HTI,Haiti,15.30285522,Lower middle income,Latin America & Caribbean,8961489,14.86313194,38520000,103.9492433,931540000,60873607.35,1207121652,13.308,1.309,-26422
2005,HTI,Haiti,14.02749627,Lower middle income,Latin America & Caribbean,9111900,5.862764884,59686000,108.2270438,986154000,70301497.93,1207121652,14.42,1.112,-26304
2006,HTI,Haiti,13.91419425,Lower middle income,Latin America & Caribbean,9266288,7.779210955,75515000,114.7027807,1062869000,76387391.24,1207121652,15.664,1.244,-26641
2007,HTI,Haiti,13.24235527,Lower middle income,Latin America & Caribbean,9420826,14.98020923,96408000,129.7220647,1222089000,92286377.69,1207121652,16.8,1.136,-27017
2008,HTI,Haiti,13.1290987,Lower middle income,Latin America & Caribbean,9575247,12.08299666,117080211.7,143.051555,1369753973,104329627.2,1207121652,16.298,-0.502,-27644
2009,HTI,Haiti,11.86122725,Lower middle income,Latin America & Caribbean,9730638,0.422915291,134824003.8,141.3624545,1375546872,115970029.3,1207121652,15.658,-0.64,-27949
2010,HTI,Haiti,12.42740425,Lower middle income,Latin America & Caribbean,9842880,7.143184358,166978561.7,149.7330782,1473804721,118593126.2,1207121652,15.383,-0.275,-28437
2011,HTI,Haiti,11.92556446,Lower middle income,Latin America & Caribbean,9954312,5.262683169,240237393.5,155.8486809,1551366394,130087460.4,1207121652,14.56,-0.823,-29049
2012,HTI,Haiti,11.76114103,Lower middle income,Latin America & Caribbean,10108539,3.929417076,231924077.2,159.5013928,1612326050,137089254,1207121652,14.1,-0.46,-29679
2013,HTI,Haiti,11.95099245,Lower middle income,Latin America & Caribbean,10261206,10.46123543,247694320.7,173.5658824,1780995274,149024884.9,1207121652,13.958,-0.142,-30347
2014,HTI,Haiti,13.05241377,Lower middle income,Latin America & Caribbean,10412740,11.00725279,248597074.4,189.8668291,1977033926,151468836.4,1207121652,13.96,0.002,-31416
2015,HTI,Haiti,14.78528633,Lower middle income,Latin America & Caribbean,10563757,11.05323981,247297661.3,207.8389561,2195560227,148496294.1,1207121652,13.888,-0.072,-32698
2016,HTI,Haiti,16.76437358,Lower middle income,Latin America & Caribbean,10713849,7.427080159,266340122.3,220.1474227,2358626245,140692775.3,1207121652,13.852,-0.036,-33902
2017,HTI,Haiti,17.31997328,Lower middle income,Latin America & Caribbean,10863543,10.83423792,297710340.4,240.6365422,2614165424,150933571.4,1207121652,13.786,-0.066,-34766
2018,HTI,Haiti,18.08255587,Lower middle income,Latin America & Caribbean,11012421,13.46787544,309403439.1,269.3538475,2966237967,164038645.2,1207121652,13.755,-0.031,-35007
2019,HTI,Haiti,20.1527117,Lower middle income,Latin America & Caribbean,11160438,2.019782218,284975298.6,271.1497088,3026149514,150160909.3,1207121652,13.781,0.026,-34635
2020,HTI,Haiti,23.815997,Lower middle income,Latin America & Caribbean,11306801,14.18067164,549483207.2,305.5928764,3455277840,145082225.2,1207121652,15.085,1.304,-33872
2021,HTI,Haiti,20.10016035,Lower middle income,Latin America & Caribbean,11447569,21.44881186,678498745.9,366.5751115,4196393883,208774149.6,1207121652,15.017,-0.068,-32977
2022,HTI,Haiti,22.37684244,Lower middle income,Latin America & Caribbean,11584996,8.000000009,0,391.204744,4532105394,202535518.9,1207121652,14.836,-0.181,0
1970,HND,Honduras,0,Lower middle income,Latin America & Caribbean,2782753,0,0,0,0,0,2115606295,0,0,-8746
1971,HND,Honduras,0,Lower middle income,Latin America & Caribbean,2867501,0,0,0,0,0,2115606295,0,0,-8921
1972,HND,Honduras,0,Lower middle income,Latin America & Caribbean,2956021,0,0,0,0,0,2115606295,0,0,-9099
1973,HND,Honduras,0,Lower middle income,Latin America & Caribbean,3046715,0,0,0,0,0,2115606295,0,0,-9289
1974,HND,Honduras,0.077332046,Lower middle income,Latin America & Caribbean,3136539,0,0,0.255058206,800000.0119,10344999.95,2115606295,0,0,-9475
1975,HND,Honduras,0.066725979,Lower middle income,Latin America & Caribbean,3231631,-6.250001395,0,0.232080952,750000,11239999.94,2115606295,0,0,-9655
1976,HND,Honduras,0.063056384,Lower middle income,Latin America & Caribbean,3334814,13.33333651,0,0.254886786,850000.0238,13479999.48,2115606295,0,0,-9838
1977,HND,Honduras,0.062893081,Lower middle income,Latin America & Caribbean,3441122,23.52940266,0,0.305133021,1049999.952,16694999.44,2115606295,0,0,-10071
1978,HND,Honduras,0.040358485,Lower middle income,Latin America & Caribbean,3550368,19.04762449,0,0.352076179,1250000,30972421.29,2115606295,0,0,-10353
1979,HND,Honduras,0.042321689,Lower middle income,Latin America & Caribbean,3662736,20,0,0.409529925,1500000,35442819.87,2115606295,0,0,-10725
1980,HND,Honduras,0.040320955,Lower middle income,Latin America & Caribbean,3777990,6.666668267,0,0.423505627,1600000.024,39681600.4,2115606295,0,0,-11183
1981,HND,Honduras,0.043275111,Lower middle income,Latin America & Caribbean,3895736,9.374998359,0,0.449209084,1750000,40438948.85,2115606295,0,0,-11671
1982,HND,Honduras,0.035157594,Lower middle income,Latin America & Caribbean,4015647,-14.28571429,0,0.37353881,1500000,42665035.61,2115606295,0,0,-12163
1983,HND,Honduras,0.040208213,Lower middle income,Latin America & Caribbean,4137784,19.9999968,0,0.435015446,1799999.952,44766972.16,2115606295,0,0,-12647
1984,HND,Honduras,0.03967195,Lower middle income,Latin America & Caribbean,4261919,8.333338889,0,0.457540382,1950000.048,49153118.21,2115606295,0,0,-13181
1985,HND,Honduras,0.039786887,Lower middle income,Latin America & Caribbean,4387693,7.69230017,0,0.478611404,2099999.905,52781206.66,2115606295,0,0,-13739
1986,HND,Honduras,0.036985966,Lower middle income,Latin America & Caribbean,4515568,0,0,0.465057752,2099999.905,56778290.04,2115606295,0,0,-14253
1987,HND,Honduras,0.544380666,Lower middle income,Latin America & Caribbean,4645733,1504.762014,0,7.253968482,33700000.76,61905212.41,2115606295,0,0,-14660
1988,HND,Honduras,0.708148444,Lower middle income,Latin America & Caribbean,4778114,24.03560326,0,8.74822142,41799999.24,59027170.92,2115606295,0,0,-14918
1989,HND,Honduras,0.894641253,Lower middle income,Latin America & Caribbean,4913676,16.26794104,0,9.890761717,48599998.47,54323448.99,2115606295,0,0,-15147
1990,HND,Honduras,1.277673766,Lower middle income,Latin America & Caribbean,5053234,29.42387554,0,12.44747453,62900001.53,49230095.51,2115606295,0,0,-15350
1991,HND,Honduras,1.776852853,Lower middle income,Latin America & Caribbean,5196887,31.31954922,0,15.89413017,82599998.47,46486684.78,2115606295,4.58,0,-15507
1992,HND,Honduras,2.265509441,Lower middle income,Latin America & Caribbean,5344774,35.59322285,0,20.9550488,112000000,49437004.31,2115606295,3.06,-1.52,-15585
1993,HND,Honduras,1.294976852,Lower middle income,Latin America & Caribbean,5496841,-43.03571496,0,11.60666631,63799999.24,49267289.33,2115606295,3.116,0.056,-15559
1994,HND,Honduras,1.917161113,Lower middle income,Latin America & Caribbean,5652934,39.49843426,0,15.74403664,89000000,46422806.82,2115606295,3.237,0.121,-15246
1995,HND,Honduras,2.318864427,Lower middle income,Latin America & Caribbean,5812832,39.3258427,0,21.33211488,124000000,53474450.06,2115606295,3.24,0.003,-14711
1996,HND,Honduras,3.016282372,Lower middle income,Latin America & Caribbean,5976550,26.85483871,8100000,26.31953217,157300000,52150289.86,2115606295,4.37,1.13,-14049
1997,HND,Honduras,3.311777929,Lower middle income,Latin America & Caribbean,6144112,20.78830261,9500000,30.92391545,190000000,57370996.51,2115606295,3.32,-1.05,-13343
1998,HND,Honduras,3.534212603,Lower middle income,Latin America & Caribbean,6308537,18.42105263,500000,35.66595551,225000000,63663402.65,2115606295,4.02,0.7,-12638
1999,HND,Honduras,5.118075443,Lower middle income,Latin America & Caribbean,6477365,45.91111111,600000,50.68419025,328300000,64145205.29,2115606295,3.85,-0.17,-11757
2000,HND,Honduras,6.602506458,Lower middle income,Latin America & Caribbean,6656725,44.53190375,9400000,71.28103384,474498240,71866380.29,2115606295,3.855,0.005,-10762
2001,HND,Honduras,7.978415643,Lower middle income,Latin America & Caribbean,6837861,28.64990395,11500000,89.27375535,610441530,76511623.02,2115606295,4,0.145,-9749
2002,HND,Honduras,10.19817942,Lower middle income,Latin America & Caribbean,7019908,31.28185594,10900000,114.1608936,801398970,78582552.53,2115606295,4.02,0.02,-8815
2003,HND,Honduras,10.51455511,Lower middle income,Latin America & Caribbean,7201881,7.984796986,12004818.71,120.1615315,865389050.8,82303915.07,2115606295,5.3,1.28,-7986
2004,HND,Honduras,13.18147048,Lower middle income,Latin America & Caribbean,7383407,35.09577674,16634547,158.3420852,1169104060,88692992.32,2115606295,5.99,0.69,-7082
2005,HND,Honduras,18.50151214,Lower middle income,Latin America & Caribbean,7564613,54.40840399,483545.7722,238.6367842,1805194920,97570128.67,2115606295,4.91,-1.08,-6187
2006,HND,Honduras,21.60269197,Lower middle income,Latin America & Caribbean,7745200,30.64898831,2121696.767,304.5071657,2358468900,109174768.7,2115606295,3.57,-1.34,-5451
2007,HND,Honduras,21.14384094,Lower middle income,Latin America & Caribbean,7924462,10.81955174,2487220,329.8198241,2613644663,123612576.8,2115606295,3.21,-0.36,-5039
2008,HND,Honduras,20.32415118,Lower middle income,Latin America & Caribbean,8101777,7.946736714,36950000,348.2376919,2821344123,138817316.3,2115606295,3.16,-0.05,-5039
2009,HND,Honduras,16.98262054,Lower middle income,Latin America & Caribbean,8277302,-12.19294694,27187940.39,299.2930705,2477339131,145874962.3,2115606295,3.29,0.13,-5196
2010,HND,Honduras,16.52787351,Lower middle income,Latin America & Caribbean,8450933,5.674140704,27285337.55,309.7772564,2617906839,158393445.9,2115606295,4.12,0.83,-5418
2011,HND,Honduras,15.8698404,Lower middle income,Latin America & Caribbean,8622504,7.360296177,32975283.77,325.9601313,2810592536,177102760,2115606295,4.47,0.35,-5664
2012,HND,Honduras,15.76145471,Lower middle income,Latin America & Caribbean,8792367,3.905839982,36431743.42,332.1483035,2920369783,185285548.6,2115606295,3.75,-0.72,-5896
2013,HND,Honduras,16.74748496,Lower middle income,Latin America & Caribbean,8960657,6.090651945,40938147.39,345.7602877,3098239342,184997290.6,2115606295,5.65,1.9,-6094
2014,HND,Honduras,17.05519007,Lower middle income,Latin America & Caribbean,9127846,8.75578014,42100000,369.1467151,3369514367,197565336.6,2115606295,7.08,1.43,-6302
2015,HND,Honduras,17.47491768,Lower middle income,Latin America & Caribbean,9294505,8.805036207,41100000,394.4482602,3666201327,209797916.9,2115606295,6.15,-0.93,-6512
2016,HND,Honduras,17.79081641,Lower middle income,Latin America & Caribbean,9460798,5.388079224,41100000,408.3946364,3863739159,217176045.8,2115606295,6.73,0.58,-6685
2017,HND,Honduras,18.68393529,Lower middle income,Latin America & Caribbean,9626842,11.8802651,261148690.3,449.0321555,4322761614,231362480.5,2115606295,5.53,-1.2,-6782
2018,HND,Honduras,19.84625023,Lower middle income,Latin America & Caribbean,9792850,10.49755711,288137023,487.758516,4776545983,240677504.7,2115606295,5.62,0.09,-6768
2019,HND,Honduras,21.52841453,Lower middle income,Latin America & Caribbean,9958829,13.08308732,329933337.2,542.3795975,5401465665,250899371,2115606295,5.55,-0.07,-6550
2020,HND,Honduras,23.4542531,Lower middle income,Latin America & Caribbean,10121763,3.465371579,291710443.5,552.1416102,5588646521,238278596.9,2115606295,10.68,5.13,-6199
2021,HND,Honduras,25.28518777,Lower middle income,Latin America & Caribbean,10278345,28.89393963,343863185.3,700.835268,7203426673,284887213,2115606295,7.947,-2.733,-5779
2022,HND,Honduras,26.75281735,Lower middle income,Latin America & Caribbean,10432860,17.79641503,338519060.9,813.3319512,8485378380,317177001.2,2115606295,7.099,-0.848,0
1970,HUN,Hungary,0,High income,Europe & Central Asia,10337910,0,0,0,0,0,1731715620,0,0,583
1971,HUN,Hungary,0,High income,Europe & Central Asia,10367537,0,0,0,0,0,1731715620,0,0,1235
1972,HUN,Hungary,0,High income,Europe & Central Asia,10398489,0,0,0,0,0,1731715620,0,0,818
1973,HUN,Hungary,0,High income,Europe & Central Asia,10432055,0,0,0,0,0,1731715620,0,0,289
1974,HUN,Hungary,0,High income,Europe & Central Asia,10478720,0,0,0,0,0,1731715620,0,0,474
1975,HUN,Hungary,0,High income,Europe & Central Asia,10540525,0,0,0,0,0,1731715620,0,0,1861
1976,HUN,Hungary,0,High income,Europe & Central Asia,10598677,0,0,0,0,0,1731715620,0,0,1225
1977,HUN,Hungary,0,High income,Europe & Central Asia,10648031,0,0,0,0,0,1731715620,0,0,384
1978,HUN,Hungary,0,High income,Europe & Central Asia,10684822,0,0,0,0,0,1731715620,0,0,1338
1979,HUN,Hungary,0,High income,Europe & Central Asia,10704152,0,0,0,0,0,1731715620,0,0,4787
1980,HUN,Hungary,0,High income,Europe & Central Asia,10711122,0,0,0,0,0,1731715620,0,0,-18988
1981,HUN,Hungary,0,High income,Europe & Central Asia,10711848,0,0,0,0,0,1731715620,0,0,-18148
1982,HUN,Hungary,0,High income,Europe & Central Asia,10705535,0,0,0,0,0,1731715620,0,0,-17999
1983,HUN,Hungary,0,High income,Europe & Central Asia,10689463,0,0,0,0,0,1731715620,0,0,-17700
1984,HUN,Hungary,0,High income,Europe & Central Asia,10668095,0,0,0,0,0,1731715620,0,0,-17752
1985,HUN,Hungary,0,High income,Europe & Central Asia,10648713,0,0,0,0,0,1731715620,0,0,-16765
1986,HUN,Hungary,0,High income,Europe & Central Asia,10630564,0,0,0,0,0,1731715620,0,0,-16940
1987,HUN,Hungary,0,High income,Europe & Central Asia,10612741,0,0,0,0,0,1731715620,0,0,-16603
1988,HUN,Hungary,0,High income,Europe & Central Asia,10596487,0,0,0,0,0,1731715620,0,0,-16466
